text,sentiment,clean_text
"Manze nimetuma pesa kwa wrong number kupitia Equitel na hawaweziiiii kurudisha, customer care ni mbogi ya noma",Negative,"manze nimetuma pesa kwa wrong number kupitia equitel na hawawezi kurudisha, customer care ni mbogi ya noma"
"Little app fiti leo, dere alikuwa on time 😎",Positive,"little app fiti leo, dere alikuwa on time"
"Niseme tu Bolt app wameokoa siku yangu, dere alikuja mapema na gari safi 👏🏾",Positive,"niseme tu bolt app wameokoa siku yangu, dere alikuja mapema na gari safi"
Kwani chama hakina pesa mpk useme hivo Serikal na chama wanashare account kwani,Neutral,kwani chama hakina pesa mpk useme hivo serikal na chama wanashare account kwani
Kuna mtu amewahi tumia Little app scheduled rides? Sijui zinafanya kazi vipiiii,Neutral,kuna mtu amewahi tumia little app scheduled rides? sijui zinafanya kazi vipi
"M-Pesa app interest ni ok lkn app inalag wakati mwingine, tu vile ni",Neutral,"m-pesa app interest ni ok lkn app inalag wakati mwingine, tu vile ni"
"Big up Little Cab for the fast response, this app is fya xasa 💯",Positive,"big up little cab for the fast response, this app is fya xasa"
bolt app inafanya kazi noma kwa maana nzuri leo no delays ata booking ilikuwa rahisi 🙏🏾,Positive,bolt app inafanya kazi noma kwa maana nzuri leo no delays ata booking ilikuwa rahisi
Great job Bolt app charging me surge price for a ride that took twooo days to even arrive kazi nzuri saaana 🙃,Negative,great job bolt app charging me surge price for a ride that took two days to even arrive kazi nzuri sana
"Shout out kwa Little Cab dere wa leo, alinipeleka mahali fast bila stress, top notch kabisa",Positive,"shout out kwa little cab dere wa leo, alinipeleka mahali fast bila stress, top notch kabisa"
"Nimeona KCB wameongeza terms, sijasomaaaa zote",Neutral,"nimeona kcb wameongeza terms, sijasoma zote"
